Seasons.Title78,甜蜜季節
obj3784.name,明亮果凍
skin902.name,薑餅倉庫
skin1151.name,糕點師阿奇博爾德
element1192.name,美味的鬆餅
element183.name,手扇
Events.FlappyReskin.WindowStart.Title,夏季發燒
Events.FlappyReskin.WindowStart.Description,夏天來了！所有仙境人物都去度假了，他們迫不及待地想分享他們的印象。但是郵局的信件太多，郵遞員不夠。我們需要您幫助運送這些漂亮的信封！
Events.WindowHelp.FlappyReskin.TipText01,有羽毛的郵遞員很難應付這麼多的信件。請幫助他們！
WindowBuyItemsVirtualVariants.TxtHead.ID,購買能源
WindowBuyItemsVirtualVariants.TxtDescription.ID,等到能量補充完畢，或者現在就買
element679.name,神奇的花朵
element680.name,星星
element680.desr,傳遞信件以獲得星星
element681.name,郵件箱
FlappyReskin.Main.State.Game.Chests,郵件箱
FlappyReskin.Rating.Hint.CounterItem,收集的星星
help42.page1.head,控制鳥
help42.page2.desc,盡力避免所有障礙，並在途中收集所有獎勵。
help42.page3.head,傳遞信件
FlappyReskin.WindowEnd.Convertation.Description,剩餘的資源賣給了農場居民！
FlappyReskin.EventsEnergy.Frame1,如果您用完了神奇的花朵，請不要擔心。一段時間後，它們會自動補充。
FlappyReskin.frame1.Description,我很高興見到你！我們鎮上的遊客太多了，我們應付不了工作量。您的幫助將是無價的！
