Seasons.Title78,甘い季節
obj3784.name,明るいゼリー
skin902.name,ジンジャーブレッド倉庫
skin1151.name,パティシエの高射砲
element1192.name,美味しいマフィン
element183.name,扇子
Events.FlappyReskin.WindowStart.Title,夏の熱
Events.FlappyReskin.WindowStart.Description,夏がやってきました！すべてのフェアリーランドのキャラクターは休暇を取りました、そして彼らは彼らの印象を共有するのを待つことができません。しかし、郵便局には手紙が多すぎて郵便配達員が足りません。これらのかわいい封筒の配達を手伝ってください。
Events.WindowHelp.FlappyReskin.TipText01,羽の生えた郵便配達員がこれほど多くの手紙に対処するのは難しいです。助けてください！
WindowBuyItemsVirtualVariants.TxtHead.ID,エネルギーを買う
WindowBuyItemsVirtualVariants.TxtDescription.ID,エネルギーが補充されるまで待つか、今すぐ購入してください
element679.name,魔法の花
element680.name,出演者
element680.desr,星を獲得するために手紙を届ける
element681.name,メールチェスト
FlappyReskin.Main.State.Game.Chests,メールチェスト
FlappyReskin.Rating.Hint.CounterItem,集められた星
help42.page1.head,鳥を制御
help42.page2.desc,全力ですべての障害物を回避し、あらゆる報酬を収集。
help42.page3.head,手紙を届ける
FlappyReskin.WindowEnd.Convertation.Description,残りのリソースは農家に売られました！
FlappyReskin.EventsEnergy.Frame1,魔法の花がなくなっても心配しないでください。しばらくすると、自動的に補充されます。
FlappyReskin.frame1.Description,お会いできてうれしいです！私たちの町には観光客が多すぎるので、仕事量に対応できません。あなたの助けはかけがえのないものになるでしょう！
