Seasons.Title78,甜蜜季节
obj3784.name,明亮果冻
skin902.name,姜饼仓库
skin1151.name,糕点师阿奇博尔德
element1192.name,美味的松饼
element183.name,手扇
Events.FlappyReskin.WindowStart.Title,夏季狂热
Events.FlappyReskin.WindowStart.Description,夏天来了！所有仙境人物都去度假了，他们迫不及待地想分享自己的印象。但是邮局的信件太多，邮递员不够。我们需要您帮助投递这些漂亮的信封！
Events.WindowHelp.FlappyReskin.TipText01,有羽毛的邮递员很难应付这么多的信件。请帮助他们！
WindowBuyItemsVirtualVariants.TxtHead.ID,购买能量
WindowBuyItemsVirtualVariants.TxtDescription.ID,等到能量补充完毕，或者现在就买
element679.name,神奇的花朵
element680.name,星星
element680.desr,投递信件以获得星星
element681.name,邮件箱
FlappyReskin.Main.State.Game.Chests,邮件箱
FlappyReskin.Rating.Hint.CounterItem,收集的星星
help42.page1.head,控制鸟儿
help42.page2.desc,尽力避免所有障碍，并沿途收集所有奖励。
help42.page3.head,投递信件
FlappyReskin.WindowEnd.Convertation.Description,剩余的信封卖给了农场居民！
FlappyReskin.EventsEnergy.Frame1,如果您用完了神奇的花朵，请不要担心。一段时间后，它们会自动补充。
FlappyReskin.frame1.Description,我很高兴见到您！我们镇上的游客太多了，我们应付不了工作量。您的帮助将是无价的！
